src,type,key,dewpointC,pop,tempC,tempF,maxTempC,minTempC,humidity,weather,weatherPrimary,snowCM,windSpeedKPH,precipMM,windDirDEG,sky,pressureMB,iceaccum,timestamp
aeris,hourly,2016-03-16 20:00,0,59,5,41,5,5,71,Mostly Cloudy with Scattered Showers,Scattered Showers,0,33,0.38,310,92,998,0,1458176400
aeris,hourly,2016-03-16 00:00,4,81,9,48,9,9,73,Mostly Cloudy with Rain,Rain,0,24,2.2,340,93,991,0,1458104400
aeris,hourly,2016-03-16 09:00,2,75,4,39,4,4,82,Mostly Cloudy with Light Rain Likely,Rain,0,33,0.64,310,94,990,0,1458136800
aeris,hourly,2016-03-16 18:00,1,75,6,43,6,6,72,Mostly Cloudy with Light Rain,Light Rain,0,36,0.51,310,92,997,0,1458169200
aeris,hourly,2016-03-16 13:00,2,75,6,43,6,6,73,Mostly Cloudy with Light Rain,Light Rain,0,37,0.64,320,90,993,0,1458151200
aeris,hourly,2016-03-16 06:00,2,81,5,41,5,5,82,Mostly Cloudy with Rain Likely,Rain,0,32,1.27,300,88,989,0,1458126000
aeris,hourly,2016-03-16 11:00,2,75,5,41,5,5,79,Mostly Cloudy with Light Rain Likely,Rain,0,37,0.64,320,92,992,0,1458144000
aeris,hourly,2016-03-15 10:00,10,97,11,52,11,11,92,Cloudy with Rain,Rain,0,14,1.19,130,100,1002,0,1458054000
aeris,hourly,2016-03-17 02:00,0,59,4,39,4,4,72,Mostly Cloudy with Light Rain Likely,Rain,0.05,26,0.34,310,90,1001,0,1458198000
aeris,hourly,2016-03-15 15:00,9,97,14,57,14,14,74,Cloudy with Thunderstorms,Thunderstorms,0,17,2.46,120,98,1000,0,1458072000
aeris,hourly,2016-03-15 17:00,8,97,13,55,13,13,69,Cloudy with Thunderstorms,Thunderstorms,0,17,2.46,90,95,998,0,1458079200
aeris,hourly,2016-03-15 11:00,10,97,12,54,12,12,90,Cloudy with Rain,Rain,0,14,1.19,140,100,1002,0,1458057600
aeris,hourly,2016-03-16 08:00,2,75,5,41,5,5,82,Cloudy with Light Rain Likely,Rain,0,33,0.64,310,95,990,0,1458133200
aeris,hourly,2016-03-15 21:00,5,81,11,52,11,11,69,Cloudy with Rain,Rain,0,20,2.2,40,95,993,0,1458093600
aeris,hourly,2016-03-17 06:00,0,59,2,36,2,2,84,Mostly Cloudy with Light Rain Likely,Rain,0.05,24,0.34,320,91,1002,0,1458212400
aeris,hourly,2016-03-17 00:00,0,59,5,41,5,5,69,Mostly Cloudy with Scattered Showers,Scattered Showers,0,27,0.38,300,90,1000,0,1458190800
aeris,hourly,2016-03-17 05:00,0,59,3,37,3,3,80,Mostly Cloudy with Light Rain Likely,Rain,0.05,24,0.34,320,91,1002,0,1458208800
aeris,hourly,2016-03-15 18:00,7,97,12,54,12,12,72,Mostly Cloudy with Rain,Rain,0,19,2.46,80,93,996,0,1458082800
aeris,hourly,2016-03-15 13:00,10,97,13,55,13,13,80,Cloudy with Thunderstorms,Thunderstorms,0,14,1.19,140,100,1002,0,1458064800
aeris,hourly,2016-03-16 14:00,2,75,7,45,7,7,70,Mostly Cloudy with Light Rain,Light Rain,0,39,0.51,310,90,993,0,1458154800
aeris,hourly,2016-03-16 12:00,2,75,6,43,6,6,76,Mostly Cloudy with Light Rain Likely,Rain,0,37,0.64,320,91,992,0,1458147600
aeris,hourly,2016-03-15 20:00,6,81,11,52,11,11,68,Cloudy with Rain,Rain,0,19,2.2,60,96,994,0,1458090000
aeris,hourly,2016-03-16 23:00,0,59,5,41,5,5,68,Mostly Cloudy with Scattered Showers,Scattered Showers,0,27,0.38,300,91,1000,0,1458187200
aeris,hourly,2016-03-16 19:00,1,75,5,41,5,5,73,Mostly Cloudy with Scattered Showers,Scattered Showers,0,36,0.51,310,92,998,0,1458172800
aeris,hourly,2016-03-15 16:00,9,97,13,55,13,13,74,Cloudy with Thunderstorms,Thunderstorms,0,17,2.46,100,96,999,0,1458075600
aeris,hourly,2016-03-16 05:00,2,81,6,43,6,6,79,Mostly Cloudy with Rain Likely,Rain,0,32,1.27,300,88,989,0,1458122400
aeris,hourly,2016-03-15 12:00,11,97,13,55,13,13,86,Cloudy with Rain,Rain,0,14,1.19,130,100,1002,0,1458061200
aeris,hourly,2016-03-17 04:00,0,59,4,39,4,4,75,Mostly Cloudy with Light Rain Likely,Rain,0.05,24,0.34,310,91,1001,0,1458205200
aeris,hourly,2016-03-16 21:00,0,59,6,43,6,6,70,Mostly Cloudy with Scattered Showers,Scattered Showers,0,30,0.38,310,91,999,0,1458180000
aeris,hourly,2016-03-17 03:00,0,59,4,39,4,4,73,Mostly Cloudy with Light Rain Likely,Rain,0.05,25,0.34,310,91,1001,0,1458201600
aeris,hourly,2016-03-16 10:00,2,75,5,41,5,5,79,Mostly Cloudy with Light Rain Likely,Rain,0,36,0.64,320,93,991,0,1458140400
aeris,hourly,2016-03-16 17:00,1,75,6,43,6,6,70,Mostly Cloudy with Light Rain,Light Rain,0,36,0.51,310,91,996,0,1458165600
aeris,hourly,2016-03-15 14:00,10,97,14,57,14,14,78,Cloudy with Thunderstorms,Thunderstorms,0,14,2.46,130,99,1001,0,1458068400
aeris,hourly,2016-03-16 16:00,1,75,7,45,7,7,68,Mostly Cloudy with Light Rain,Light Rain,0,37,0.51,310,91,995,0,1458162000
aeris,hourly,2016-03-16 02:00,3,81,7,45,7,7,76,Mostly Cloudy with Rain Likely,Rain,0,27,1.27,320,91,990,0,1458111600
aeris,hourly,2016-03-15 23:00,4,81,9,48,9,9,73,Mostly Cloudy with Rain,Rain,0,23,2.2,340,94,992,0,1458100800
aeris,hourly,2016-03-15 06:00,10,86,10,50,10,10,97,Cloudy with Showers,Showers,0,13,0.72,130,100,1002,0,1458039600
aeris,hourly,2016-03-16 07:00,2,81,4,39,4,4,82,Cloudy with Light Rain Likely,Rain,0,32,1.27,300,96,990,0,1458129600
aeris,hourly,2016-03-15 08:00,9,97,10,50,10,10,97,Cloudy with Rain,Rain,0,14,1.19,130,100,1002,0,1458046800
aeris,hourly,2016-03-17 01:00,0,59,4,39,4,4,70,Mostly Cloudy with Light Rain Likely,Rain,0,27,0.38,300,90,1000,0,1458194400
aeris,hourly,2016-03-16 03:00,3,81,7,45,7,7,79,Mostly Cloudy with Rain Likely,Rain,0,30,1.27,310,89,989,0,1458115200
aeris,hourly,2016-03-16 22:00,0,59,6,43,6,6,68,Mostly Cloudy with Scattered Showers,Scattered Showers,0,27,0.38,310,91,1000,0,1458183600
aeris,hourly,2016-03-15 22:00,5,81,10,50,10,10,69,Mostly Cloudy with Rain,Rain,0,23,2.2,20,94,993,0,1458097200
