src,type,key,precipAccumulation,precipType,cloudCover,humidity,visibility,summary,pressure,windSpeed,temperature,time,windBearing,precipIntensity,dewPoint,precipProbability,temperatureMin,temperatureMax
forecast.io,hourly,2016-03-11 22:00,NA,NA,0.01,0.72,9.65,Clear,1018.4,9.5,52.76,1457755200,180,0,43.88,0,NA,NA
forecast.io,daily,2016-03-16 00:00,NA,rain,1,0.82,NA,Breezy until afternoon and light rain throughout the day.,1002.33,18.99,NA,1458104400,305,0.0183,35.26,0.68,36.54,47.63
forecast.io,hourly,2016-03-13 15:00,NA,rain,0.87,0.69,10,Drizzle,1007.01,11.13,55.77,1457899200,132,0.0052,45.57,0.22,NA,NA
forecast.io,hourly,2016-03-12 20:00,NA,NA,0.28,0.54,10,Partly Cloudy,1012.86,7.25,56.79,1457834400,135,0,40.2,0,NA,NA
forecast.io,hourly,2016-03-12 10:00,NA,NA,0.04,0.59,10,Clear,1017.36,8.49,55.99,1457798400,203,0,41.92,0,NA,NA
forecast.io,daily,2016-03-12 00:00,NA,NA,0.19,0.62,9.72,Mostly cloudy starting in the afternoon.,1015.68,6.88,NA,1457762400,179,0,41.54,0,43.59,70.19
forecast.io,hourly,2016-03-12 17:00,NA,NA,0.4,0.43,10,Partly Cloudy,1012.88,6.05,66.03,1457823600,137,0,42.69,0,NA,NA
forecast.io,hourly,2016-03-13 20:00,NA,rain,0.63,0.72,10,Mostly Cloudy,1004.8,7.63,53.94,1457917200,127,0.0011,45.11,0.02,NA,NA
forecast.io,hourly,2016-03-12 18:00,NA,NA,0.43,0.47,10,Partly Cloudy,1012.76,6.31,62.29,1457827200,132,0,42.02,0,NA,NA
forecast.io,hourly,2016-03-13 10:00,NA,rain,0.88,0.86,10,Light Rain,1009.87,10.66,47,1457881200,125,0.0112,43.07,0.52,NA,NA
forecast.io,hourly,2016-03-12 09:00,NA,NA,0.03,0.66,10,Clear,1017.79,8.48,52.6,1457794800,205,0,41.62,0,NA,NA
forecast.io,daily,2016-03-14 00:00,NA,rain,0.87,0.84,10,Light rain in the morning.,1002.94,4.46,NA,1457931600,138,0.0043,45.91,0.64,43.95,60.36
forecast.io,hourly,2016-03-13 07:00,NA,rain,0.95,0.92,10,Overcast,1010.72,8.46,45.63,1457870400,119,0.0047,43.36,0.19,NA,NA
forecast.io,current,2016-03-11 19:59,NA,NA,0.02,0.66,10,Clear,1018.38,8.99,55.92,1457747956,170,0,44.58,0,NA,NA
