src,type,key,dewpoint,wdir,qpf,pop,condition,mslp,temp,sky,snow,humidity,wspd
wunder,hourly,2016-03-19 16:00,-4,18,0,15,Overcast,1026,40,95,0,51,14
wunder,hourly,2016-03-20 08:00,-6,328,0,2,Partly Cloudy,1029,30,55,0,69,8
wunder,hourly,2016-03-20 14:00,-6,305,0,0,Partly Cloudy,1027,40,46,0,46,14
wunder,hourly,2016-03-20 05:00,-5,312,0,13,Mostly Cloudy,1028,30,63,0,76,6
wunder,hourly,2016-03-19 10:00,-3,54,0,15,Overcast,1026,33,97,0,75,14
wunder,hourly,2016-03-19 20:00,-4,348,0,1,Mostly Cloudy,1027,37,74,0,60,11
wunder,hourly,2016-03-19 03:00,-4,28,0,48,Snow Showers,1023,29,100,3,84,10
wunder,hourly,2016-03-20 11:00,-6,323,0,0,Partly Cloudy,1028,37,41,0,52,13
wunder,hourly,2016-03-19 09:00,-3,49,0,15,Overcast,1025,32,99,0,79,14
wunder,hourly,2016-03-19 06:00,-3,31,0,18,Overcast,1024,30,100,0,84,11
wunder,hourly,2016-03-19 04:00,-4,27,1,42,Snow Showers,1023,29,100,5,85,11
wunder,hourly,2016-03-20 07:00,-6,323,0,12,Partly Cloudy,1029,30,56,0,72,8
wunder,hourly,2016-03-19 08:00,-4,42,0,15,Overcast,1025,31,97,0,80,14
wunder,hourly,2016-03-19 18:00,-4,2,0,0,Overcast,1026,40,83,0,54,14
wunder,hourly,2016-03-20 02:00,-4,342,0,2,Partly Cloudy,1028,30,56,0,77,8
wunder,hourly,2016-03-20 12:00,-6,313,0,0,Partly Cloudy,1028,38,49,0,49,14
wunder,hourly,2016-03-19 05:00,-4,29,0,31,Snow Showers,1024,30,100,0,84,11
wunder,hourly,2016-03-20 04:00,-4,315,0,2,Mostly Cloudy,1028,30,60,0,79,6
wunder,hourly,2016-03-20 13:00,-6,308,0,0,Mostly Cloudy,1027,40,60,0,48,14
wunder,hourly,2016-03-20 01:00,-4,351,0,2,Partly Cloudy,1029,31,51,0,76,8
wunder,hourly,2016-03-20 10:00,-6,331,0,0,Partly Cloudy,1029,34,49,0,58,13
wunder,hourly,2016-03-19 07:00,-4,36,0,0,Overcast,1025,31,99,0,79,14
wunder,hourly,2016-03-19 19:00,-4,352,0,0,Overcast,1027,38,81,0,57,13
wunder,hourly,2016-03-19 23:00,-4,353,0,2,Partly Cloudy,1028,32,52,0,71,10
wunder,hourly,2016-03-19 14:00,-4,33,0,15,Overcast,1026,39,97,0,55,13
wunder,hourly,2016-03-19 11:00,-3,59,0,15,Overcast,1026,35,97,0,68,13
wunder,hourly,2016-03-19 13:00,-4,50,0,15,Overcast,1026,38,96,0,57,13
wunder,hourly,2016-03-19 15:00,-4,25,0,15,Overcast,1026,40,97,0,52,14
wunder,hourly,2016-03-20 03:00,-4,328,0,2,Partly Cloudy,1028,30,56,0,79,6
wunder,hourly,2016-03-20 09:00,-6,331,0,1,Partly Cloudy,1029,31,50,0,64,10
wunder,hourly,2016-03-19 21:00,-4,349,0,1,Mostly Cloudy,1028,35,65,0,65,11
wunder,hourly,2016-03-20 00:00,-4,352,0,2,Partly Cloudy,1028,32,45,0,74,10
wunder,hourly,2016-03-20 06:00,-5,314,0,13,Partly Cloudy,1028,30,51,0,74,8
wunder,hourly,2016-03-19 17:00,-4,7,0,15,Overcast,1026,40,94,0,52,14
wunder,hourly,2016-03-19 22:00,-4,353,0,2,Partly Cloudy,1028,33,56,0,68,10
wunder,hourly,2016-03-19 12:00,-4,56,0,15,Overcast,1026,37,93,0,62,13
