src,type,key,humidity,pressure,tempC,pop,minTempC,maxTempC
forecast.io,hourly,2016-03-06 12:00,0.59,1008.14,53.64,0,NA,NA
forecast.io,daily,2016-03-12 00:00,0.91,1005.22,NA,0.73,47.39,58.32
forecast.io,hourly,2016-03-06 22:00,0.97,1003.91,43.87,0,NA,NA
forecast.io,hourly,2016-03-05 21:00,0.89,1022.14,32.76,0,NA,NA
forecast.io,hourly,2016-03-07 04:00,0.98,1002.52,42.29,0,NA,NA
forecast.io,hourly,2016-03-05 15:00,0.71,1023.74,36.73,0,NA,NA
forecast.io,hourly,2016-03-06 02:00,0.87,1018.58,32.72,0,NA,NA
forecast.io,hourly,2016-03-07 07:00,0.98,1002.5,44.14,0,NA,NA
forecast.io,hourly,2016-03-07 14:00,0.82,1000.81,61.56,0,NA,NA
forecast.io,hourly,2016-03-07 01:00,0.97,1003.13,43.71,0,NA,NA
forecast.io,hourly,2016-03-06 05:00,0.85,1015.34,34.01,0,NA,NA
forecast.io,hourly,2016-03-06 08:00,0.83,1012.43,37.15,0,NA,NA
forecast.io,hourly,2016-03-06 23:00,0.97,1003.65,43.87,0,NA,NA
forecast.io,hourly,2016-03-06 18:00,0.84,1004.12,53.66,0,NA,NA
forecast.io,hourly,2016-03-05 22:00,0.9,1021.63,32.77,0,NA,NA
forecast.io,hourly,2016-03-06 04:00,0.85,1016.49,33.56,0,NA,NA
forecast.io,hourly,2016-03-06 17:00,0.77,1004.27,56.61,0,NA,NA
forecast.io,hourly,2016-03-07 12:00,0.83,1001.9,56.07,0,NA,NA
forecast.io,hourly,2016-03-06 07:00,0.82,1013.32,35.47,0,NA,NA
forecast.io,hourly,2016-03-06 15:00,0.62,1004.97,60.72,0,NA,NA
forecast.io,hourly,2016-03-07 05:00,0.98,1002.38,42.81,0,NA,NA
forecast.io,hourly,2016-03-07 08:00,0.97,1002.79,44.91,0.01,NA,NA
forecast.io,hourly,2016-03-05 18:00,0.79,1022.68,35.47,0,NA,NA
forecast.io,hourly,2016-03-07 02:00,0.97,1002.9,43.31,0,NA,NA
forecast.io,hourly,2016-03-06 09:00,0.76,1011.49,39.73,0,NA,NA
forecast.io,hourly,2016-03-05 20:00,0.87,1022.4,32.71,0,NA,NA
forecast.io,hourly,2016-03-07 09:00,0.95,1002.91,46.27,0.02,NA,NA
forecast.io,daily,2016-03-05 00:00,0.83,1021.78,NA,0.05,31.27,37.58
forecast.io,hourly,2016-03-06 14:00,0.58,1005.83,60.02,0,NA,NA
forecast.io,daily,2016-03-08 00:00,0.89,1005.02,NA,0.57,39.64,57.62
forecast.io,hourly,2016-03-07 03:00,0.98,1002.7,42.8,0,NA,NA
forecast.io,hourly,2016-03-07 11:00,0.87,1002.35,52.49,0,NA,NA
forecast.io,daily,2016-03-07 00:00,0.94,1001.7,NA,0.32,42.29,62.53
forecast.io,daily,2016-03-10 00:00,0.73,1019.04,NA,0,37.63,60.97
forecast.io,hourly,2016-03-06 01:00,0.88,1019.49,32.36,0,NA,NA
forecast.io,hourly,2016-03-06 10:00,0.7,1010.42,44.16,0,NA,NA
forecast.io,daily,2016-03-11 00:00,0.76,1013.98,NA,0,44.22,70
forecast.io,hourly,2016-03-06 19:00,0.9,1004.05,50.15,0,NA,NA
forecast.io,hourly,2016-03-05 14:00,0.71,1024.1,35.61,0,NA,NA
forecast.io,daily,2016-03-09 00:00,0.74,1020.25,NA,0,33.97,53.83
forecast.io,hourly,2016-03-05 16:00,0.73,1023.37,37.58,0,NA,NA
forecast.io,hourly,2016-03-06 11:00,0.64,1009.27,48.43,0,NA,NA
forecast.io,hourly,2016-03-06 21:00,0.97,1004.06,44.59,0,NA,NA
forecast.io,hourly,2016-03-07 13:00,0.82,1001.38,59.11,0,NA,NA
forecast.io,hourly,2016-03-06 20:00,0.94,1004.09,46.72,0,NA,NA
forecast.io,hourly,2016-03-06 03:00,0.85,1017.59,33.11,0,NA,NA
forecast.io,hourly,2016-03-07 10:00,0.92,1002.72,48.88,0.01,NA,NA
forecast.io,hourly,2016-03-05 19:00,0.82,1022.51,33.85,0,NA,NA
forecast.io,hourly,2016-03-06 13:00,0.57,1006.96,57.27,0,NA,NA
forecast.io,hourly,2016-03-07 06:00,0.98,1002.33,43.48,0,NA,NA
forecast.io,daily,2016-03-06 00:00,0.8,1009.9,NA,0,31.92,60.72
forecast.io,hourly,2016-03-06 06:00,0.84,1014.26,34.41,0,NA,NA
forecast.io,hourly,2016-03-06 16:00,0.69,1004.5,59.25,0,NA,NA
forecast.io,hourly,2016-03-05 23:00,0.91,1021,32.73,0,NA,NA
forecast.io,hourly,2016-03-05 17:00,0.75,1022.99,37.1,0,NA,NA
